#      xpix        ypix        flux     vel_pix    disp_pix
     0.4873     -6.4999      0.2393     30.2984    121.6523
     0.9873     -6.4999      0.2356     21.9960    129.9515
     1.4873     -6.4999      0.2280     14.1963    132.4395
     1.9873     -6.4999      0.2240      2.6810    130.5255
     2.4872     -6.4999      0.2169     -7.8792    130.1288
     2.9872     -6.4999      0.2107    -19.1924    128.1558
     3.4872     -6.4999      0.1965    -22.7559    116.6643
     3.9872     -6.4999      0.1877    -24.5539    112.1709
     4.4872     -6.4999      0.1756    -27.5880    110.1269
     4.9872     -6.4999      0.1646    -35.4722    121.8904
     5.4872     -6.4999      0.1527    -47.5673    132.0883
     5.9872     -6.4999      0.1403    -57.6950    135.6807
     6.4872     -6.4999      0.1340    -58.7485    119.0183
     6.9872     -6.5000      0.1277    -58.7485    119.0183
     7.4871     -6.5000      0.1273    -61.2768    118.2470
    -7.0126     -6.0000      0.1531    143.1677    117.4813
    -6.5126     -5.9999      0.1602    130.0757    116.3526
    -6.0126     -5.9999      0.1704    122.9644    110.6519
    -5.5126     -5.9999      0.1809    116.1634    107.5468
    -5.0126     -5.9999      0.1929    115.8160    106.7356
    -4.5126     -5.9999      0.2028    113.4396    112.0267
    -4.0126     -5.9999      0.2130    103.6281    112.5598
    -3.5126     -5.9999      0.2260     94.6243    110.0054
    -3.0126     -5.9999      0.2417     87.6074    115.4171
    -2.5126     -5.9999      0.2536     83.2526    115.9572
    -2.0127     -5.9999      0.2641     74.4632    125.8820
    -1.5127     -5.9999      0.2734     63.4790    126.1313
    -1.0127     -5.9999      0.2804     52.7822    124.8329
    -0.5127     -5.9999      0.2863     39.1098    120.8597
    -0.0127     -5.9999      0.2853     28.9908    121.2572
     0.4873     -5.9999      0.2865     21.9226    126.5567
     0.9873     -5.9999      0.2864     18.1649    132.2166
     1.4873     -5.9999      0.2799     13.0176    133.4406
     1.9873     -5.9999      0.2684      4.7760    134.5574
     2.4873     -5.9999      0.2580     -8.1772    133.7279
     2.9872     -5.9999      0.2452    -21.3483    129.7236
     3.4872     -5.9999      0.2319    -28.8301    118.4376
     3.9872     -5.9999      0.2195    -32.3346    107.1641
